Model_No,KS,AD,SW,WX,Fit,TIC,Willmott,Russell_Pr,Russell_Mr,SG_Mr,Anova,Dvure,DTW,DTW_D,CodExp,N_nAIC,N_BIC,N_FPE,ITAE,V_ess,V_Tr,V_Ts,V_Mp,V_MESR,V_MRSR,V_Var,V_DifS,Harris,rwi,IAU,ess,Tr,Ts,Mp,MESR,MRSR,Var,DifS,Flag,ID_norm,Category
1,0,0.0005,0,0.279529285348564,0.917822504949383,0.0411319749103154,0.942421818003925,0.0261842530644203,-0.00182431649155999,-0.0021025245531735,0.757080562533148,73.2932376389517,0.00258588385758157,0.00176707917491858,84,2,2,2,0.0240291234327223,0.0024765012866681,1.55583418790505,0.29541419689134,0,0.00189694422906942,0.000167079416881112,0.199993084077802,0,2.12827272005373,137.637309071303,708.044765387008,0,9.83260462661346,53.5477653319381,3.42414722182833,0.00271105347038987,0.0004026204046655,0.167582405775238,0,0,4,D
2,0,0.0005,0,0.294310916065876,0.921659565054911,0.0392186258771986,0.942624543072563,0.0249613613753888,-0.00214215293474678,-0.00246928086227194,0.768878493402388,73.4616417313756,0.00237675804464444,0.00197908381417986,84,1.9747041888927,1.97468991727377,0.695538076150588,0.0239445201068037,0.000529055230056197,0.0244840810083158,-0.310071989823228,0,0.00141980660515914,0.000166578490794992,0.199993077075183,0,1.5902204089145,317.841123252592,702.356872292406,0,30.0373709539248,50.7415619657618,0.259691127142125,0.00334975337809217,0.000245936517385402,0.167574451729939,0,0,3,C
3,0,0,0,0,-Inf,1,-Inf,Inf,Inf,1,0,0,Inf,Inf,84,1.98322871256374,1.98321925038748,1.07900963832672,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,0.577239597511763,82068.7282886974,2.17982206643631e+20,604.574884095253,542.69673266807,995.900120764006,0,51.7526636264866,0.265077411989401,-1.68306414915124,0,1,8,Z
4,0,0.0005,0,0.299143222726004,0.924267622829937,0.0379008407119585,0.943230322386999,0.0241271708041661,-0.00158737872423904,-0.00182920519746277,0.777550887273219,74.4854506820876,1.20466566250477e-06,1.72206306205183e-05,84,1.97242707343167,1.97274585132458,0.601446073604195,0.0236917100073019,0.00107432182845435,0.576458320944144,-0.115019943049489,0,0.00146197948777097,0.000166845720304742,0.200049835291273,0,1.85754627700125,195.111189982121,705.048631432503,0,27.3678443683173,50.6318876140741,1.1062778483397,0.00283080903398047,0.000311252446648379,0.167568179769172,0,0,3,C
5,0,0.0005,0,0.293616427690404,0.923102466213665,0.038491892632624,0.94282122543993,0.0245003509365717,-0.00194468797894916,-0.00224140736392231,0.773608523507247,73.6560098930418,1.35647904930095e-07,5.74767946024167e-07,84,1.97153470201937,1.97185297644612,0.565474855936995,0.0238624385835832,0.000601712395205234,-0.14832109600485,-0.397100541592073,0,0.0013724437872646,0.000166566381267467,0.200028012792323,0,1.58437534169742,318.337655036149,702.29886657452,0,29.5371797005495,49.6345036126884,0.302265329083062,0.00330544005218992,0.000243046160559351,0.167585125711085,0,0,3,C
6,0,0,0,0,-Inf,1,-Inf,Inf,Inf,1,0,0,Inf,Inf,84,1.97398016615671,1.97429982028749,0.665257685504632,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,0.473041688703205,127450.758249056,59120613750353.8,87.2385990377802,579.882776744146,993.304273745691,0,7.67709309612189,0.032942864522054,-1.75854954068231,0,1,8,Z
7,0,0.0005,0,0.298765837873628,0.921222128868563,0.0394274892205679,0.94296506945238,0.0250990922022078,-0.00169757369366487,-0.00195631128927343,0.767477029478954,74.0283241747164,2.51479459121046e-06,0.000731147993731025,84,1.98936654844392,1.98952771628498,1.38846868414842,0.0238024081100534,0.00174486927993223,1.04572105274636,0.081411983077891,0,0.00167170541650646,0.000166957478213322,0.200023423587281,0,1.97351322256003,166.562420158746,706.298109139424,0,27.6235724567996,52.2787702726126,1.86816753022212,0.00277151058210622,0.000349638939175609,0.167566360238023,0,0,3,C
8,0,0.0005,0,0.293998334176841,0.922778012061697,0.0386553483400417,0.942774300493261,0.0246040248653345,-0.00199156684666684,-0.0022955006690476,0.772530408265364,73.5774334297214,2.41382962314606e-07,0.00119014873936487,84,1.97172352320671,1.97187473704661,0.573044455806608,0.0238820217884796,0.000593815064022452,-0.111362264728946,-0.376847906686139,0,0.00138422754635328,0.000166567697489329,0.20001986272997,0,1.58502903355323,318.653775684983,702.306256537975,0,29.6440134317442,49.9023721965739,0.293136049981513,0.00331654681513718,0.000243552708424404,0.167582817028393,0,0,3,C
9,0,0,0,0,-Inf,1,-Inf,Inf,Inf,1,0,0,Inf,Inf,84,1.97543408156295,1.97558738885914,0.726412193436869,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,0.470281364167533,128911.366324499,71143827512072.8,90.1345820997893,578.987807914991,993.3548042766,0,7.92062703554533,0.0338950864778386,-1.75163270182259,0,1,8,Z
10,0,0.0005,0,0.293262943176199,0.927580262408048,0.0362409364015388,0.943461981216622,0.0230702829600283,-0.00148847860709405,-0.00171514098219705,0.78938383621551,74.5680740952017,3.42762443024752e-07,1.95106797199555e-06,84,1.94266794734501,1.94330426970105,-0.364859391387124,0.0235950317444893,0.000276106868052572,0.0767565563471042,-0.356526275387718,0,0.00120802088175026,0.000166712684478007,0.20007379947175,0,1.75446506281706,226.411439345804,703.914562514648,0,26.8456369251234,47.0929882030423,0.983201275785439,0.00287151627472818,0.000275096724730639,0.167586104529936,0,0,2,B
11,0,0.0005,0,0.291604361539743,0.918964663971219,0.0406035163968023,0.942475241891392,0.0258209101771513,-0.00366577056331712,-0.00422925482408598,0.760477580267546,73.416220510087,1.12193850679776e-05,6.74265323177095e-05,84,1.96000610134218,1.96065220569438,0.143114435145771,0.0240068280225218,0.00120573217197151,0.858364273373537,0.178975292700734,0,0.00176918286661696,0.000166465711304671,0.199721287934262,0,1.58010748593315,326.02477050129,702.045207968345,0,32.6050421312648,53.7968157113655,0.0258074180252477,0.00344427449999901,0.000242527281552302,0.167536881669653,0,0,3,C
12,0,0,0,0,-Inf,1,-Inf,Inf,Inf,1,0,0,Inf,Inf,84,1.9729202918351,1.97357368223181,0.621543538582344,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,0.466924266779671,130792.272784897,87804717244382.9,93.4450951709279,578.340864387009,993.411850119029,0,8.20214204182998,0.0349610859058424,-1.74277430036766,0,1,8,Z
13,0,0.0005,0,0.297220690580645,0.930138734914649,0.0349611993342075,0.943967057875389,0.0222545535124894,-0.00151805405312494,-0.00174924980057267,0.799183353152723,75.2650252598323,0.0013365682823027,0.000173163747166845,84,1.89420684845023,1.89565166517475,-1.2323498150621,0.0233842479205516,9.16536909052468e-05,-0.371199301539093,-0.461135140051838,0,0.00111886309022723,0.000166652579988076,0.200067442160505,0,1.7229587222854,233.509622152124,703.389573824275,0,26.2968335165094,34.5909429555628,0.839189294600717,0.00279910916568528,0.000256860740725023,0.167600788954645,0,0,1,A
