Model_No,KS,AD,SW,WX,Fit,TIC,Willmott,Russell_Pr,Russell_Mr,SG_Mr,Anova,Dvure,DTW,DTW_D,CodExp,N_nAIC,N_BIC,N_FPE,ITAE,V_ess,V_Tr,V_Ts,V_Mp,V_MESR,V_MRSR,V_Var,V_DifS,Harris,rwi,IAU,ess,Tr,Ts,Mp,MESR,MRSR,Var,DifS,Flag,ID_norm,Category
1,0,0.0005,0,0,-0.643776105040244,0.0213701704993494,-0.507642061085191,0.00153242193553207,0.0354198270144373,0.0433898115128213,1,0,8.07775128523782,7.6756407616121e-05,1,1.97281254115469,1.97280805346578,0.877436678364722,2.82147619524365,3.00325111237524,1.88613871182454,0.153602594214137,0,0.0444427522273584,5.7084554142967e-05,0.0478895337684899,0,3.3030182589973,14055.669510137,966602.161166444,3.25979101489793e-08,95.6699164937831,906.294037334314,17.3295262010449,0.0015667802358689,2.24840748353509e-05,0.0323316455822869,0,0,7,G
2,0,0.0005,0,0,-0.115638648223737,0.0146047696768983,-0.270931883913993,0.00140744504946524,0.0243863404875863,0.0292959387650584,1,0.0328899061890559,3.71370497751927,7.69473907768657e-05,1,1.97069525815132,1.97069042097379,0.804562445291297,1.9054134253349,2.01796467464364,1.38651325166944,-0.000385183126314814,0,0.031366938889654,5.67868118308897e-05,0.0505160881466402,0,3.27969106873857,15659.2689888719,966602.420009278,4.99476016102562e-09,98.4138587946441,653.363395317361,13.5610000771342,0.00141871773293758,1.90997321957635e-05,0.0322987466860827,0,0,5,E
3,0,0.0005,0,0,0.315149872892877,0.00901714778162086,0.173371398213151,0.00140954915340548,0.0149265521835721,0.017636384941643,1,0.473227290410348,1.36771498419356,7.69691129636618e-05,1,2,2,2,1.14831391754175,1.20219612014552,1.15091508096325,-0.0459007931780931,0,0.0209757282752861,5.61434194381549e-05,0.0549431725491948,0,3.24680964621378,18597.8450603916,966602.713074272,9.36921651373268e-11,105.271116793421,621.947818920863,6.28216391634879,0.00127721900890096,1.52544065064152e-05,0.0322333542001701,0,0,5,E
4,0,0.0005,0,0,-0.580184036010048,0.0205604363691381,-0.487690764564889,0.00150534636542376,0.0341190223170644,0.0416998176559178,1,0,7.46732825984726,7.68242195893457e-05,1,1.96781496858297,1.96792970300375,0.708380552008277,2.71159701581659,2.88530830870853,1.7808057910288,0.116687024550935,0,0.0428227972884182,5.74614243428567e-05,0.0478664364194231,0,3.30054765930447,14207.7831696788,966602.146848951,4.63221567770233e-08,95.8815259394769,788.758499621156,17.1401893766615,0.00154939077437283,2.20909942226485e-05,0.0323317365920197,0,0,6,F
5,0,0.0005,0,0,-0.0897555241187706,0.0142707761792427,-0.253390375134807,0.00139304730359284,0.0238363766094061,0.0286075252794833,1,0.0357895655165184,3.5433031283093,7.69552541741873e-05,1,1.96909852515723,1.96921347144785,0.75082820704213,1.86064595024144,1.96982860153696,1.33070577688039,-0.0200725890570439,0,0.0306974207679751,5.674880297884e-05,0.0504826803123774,0,3.27733131845436,15838.8859688856,966602.44135954,4.67302641027345e-09,98.7509828012398,652.50950513257,13.2052535456399,0.00140547797928201,1.87858679327109e-05,0.0322965388716698,0,0,5,E
6,0,0.0005,0,0,0.324404711801853,0.00889637543001667,0.184861124086945,0.00139954832200242,0.0147240001912047,0.0173909014584817,1,0.519513971396572,1.33062627129405,7.69711093180216e-05,1,1.99966974360482,1.99978973612351,1.98402685692104,1.13235288930971,1.18502041276743,1.1165039980891,-0.0582884390959238,0,0.0207236489034075,5.61298560256864e-05,0.0548956285181491,0,3.2446362940681,18818.574706659,966602.691818568,8.70272742758971e-11,105.91312724716,618.342665693327,5.86366070221991,0.00127021448405748,1.50353178464389e-05,0.0322310577128258,0,0,5,E
7,0,0.0005,0,0,-0.604113695584991,0.020865295663918,-0.495385841583304,0.00151549685191524,0.0346092434481079,0.0423358061253765,1,0,7.69431168547159,7.6800939996264e-05,1,1.96920090696543,1.96925584663949,0.754242520392038,2.75294732483594,2.92970208615496,1.82043561672931,0.130575736121278,0,0.0434325534163086,5.74965002375809e-05,0.0478752820314246,0,3.30147341988638,14150.3750624264,966602.152370241,4.22208188410877e-08,95.8010632084051,789.025431729773,17.2101121622723,0.00155587859176956,2.22380881633453e-05,0.0323316764909176,0,0,6,F
8,0,0.0005,0,0,-0.102483246958005,0.0144350417757488,-0.262120867737458,0.00140012556734648,0.024106959329032,0.0289460604726333,1,0.0343175039992273,3.62660425913772,7.69515966763878e-05,1,1.96988483548568,1.96993988805218,0.777159702058579,1.88266087880167,1.99350136121508,1.35828151309902,-0.0103564246394751,0,0.0310267129923832,5.67674944527969e-05,0.050499181619478,0,3.27798250775032,15790.3028612227,966602.445798071,4.36168079431809e-09,98.6647638996465,652.454953986999,13.2543269385109,0.00140927742723967,1.8874325877265e-05,0.0322961830843851,0,0,5,E
9,0,0.0005,0,0,0.319900536927931,0.00895515703405275,0.179269698684514,0.00140443879230975,0.014822586435198,0.0175103617762107,1,0.505753749134583,1.34861169274358,7.69701729728206e-05,1,1.99982802044675,1.99988801557518,1.99167408140805,1.14012024670705,1.19337900980706,1.13339379769084,-0.0522093814596824,0,0.0208464024977799,5.6136456499342e-05,0.0549190162816166,0,3.24506360086171,18777.9444222349,966602.707809584,8.30766566650709e-11,105.789622170867,619.244468135936,5.90549993030192,0.00127196439712295,1.50780535368555e-05,0.032230678755067,0,0,5,E
10,0,0.0005,0,0,-0.534565475878342,0.0199787392524503,-0.472350106071427,0.00148599950664283,0.0331820636300684,0.0404872824085891,1,0,7.04377719014627,7.6862146734283e-05,1,1.96512219462746,1.96535653159875,0.621446044839769,2.63276123854393,2.80064352792776,1.70469668849315,0.0900860682068084,0,0.0416600134026575,5.73945422614945e-05,0.0478501521943089,0,3.29876048386744,14319.9595334149,966602.136371647,5.08229476281485e-08,96.0412402872103,788.14341686866,17.0040583131299,0.00153697170987198,2.18081477045474e-05,0.0323318691243655,0,0,6,F
