Model_No,KS,AD,SW,WX,Fit,TIC,Willmott,Russell_Pr,Russell_Mr,SG_Mr,Anova,Dvure,DTW,DTW_D,CodExp,N_nAIC,N_BIC,N_FPE,ITAE,V_ess,V_Tr,V_Ts,V_Mp,V_MESR,V_MRSR,V_Var,V_DifS,Harris,rwi,IAU,ess,Tr,Ts,Mp,MESR,MRSR,Var,DifS,Flag,ID_norm,Category
1,0,0.0005,0,0,0.342561283457343,0.00981871588012872,0.320258460149282,0.00139068208639672,-0.0163203946158312,-0.0189637719183511,1,87.1728427474053,0.0182903045657686,0,1,1.84790495591202,1.84787162288271,-1.27176083761662,0.132850456361904,0.137005347175532,-0.336097924772551,-0.727966684037313,0,0.0155397215919878,4.26987101607093e-05,0.0294657510899266,0,3.48546699649046,10377.3450157375,104162.859767574,3.26849658449646e-13,168.306207826404,363.345311042306,2.0526203635471,0.000735582601658732,7.94086095552769e-06,0.0242779208679336,0,0,3,C
2,0,0.0005,0,0,0.118471442439221,0.0132087888025985,0.0877001372463048,0.00181986274405717,-0.0218471850744873,-0.0254632341745079,1,8.32039740528353,0.0326500130246636,0,1,1.99673421399643,1.99673349826936,1.85633985888949,0.17830199203914,0.185703480804304,0.364841212609665,-0.415678188746587,0,0.0224254201027259,4.24163056225351e-05,0.0413464990559984,0,3.52444953340564,8608.16995760088,104163.035386189,9.69713198628597e-12,278.14531089189,361.048536792664,0.615399715288634,0.000829588177713986,7.81411026418692e-06,0.0241833163219356,0,0,2,B
3,0,0.0005,0,0,-5.58929562483108e+85,1,-1,0.533000858966787,84.2184489154823,1.65367025797048e+84,1,0,3.81699527610495e+115,4.63314533505243e+111,1,2,2,2,1.21405011099079e+84,1.5481753391829e+64,0.700787329083291,8.68828581095933,0,6.19105764649093e+106,6.74686890660757e+104,-11.1810695892439,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,NaN,<undefined>
4,0,0.0005,0,0,0.328203490432083,0.0100353478936328,0.304670080654635,0.00139233535531692,-0.0166909296350939,-0.0193983101804135,1,86.1905539135856,0.0191236500326964,0,1,1.81427469825274,1.81436386696571,-1.50031373147709,0.135897089837123,0.14026959732747,-0.360328785745026,-0.736581046160657,0,0.0158533839438922,4.27030136317397e-05,0.0294762499642492,0,3.48494620287585,10412.066113322,104162.856857018,1.02140518265514e-13,165.38086157316,364.878876478697,2.11171092075155,0.000735063999443499,7.95170190347591e-06,0.0242799737614523,0,0,3,C
5,0,0.0005,0,0,0.124474909248398,0.0131174422352057,0.0953131686425533,0.00185879582260481,-0.0216696624659741,-0.0252538714232822,1,9.39116522830361,0.0321141808184779,0,1,1.99478786828661,1.99491659812285,1.77318701488865,0.176813370829082,0.184108846080401,0.567276273816212,-0.337842753162356,0,0.0225599581430919,4.24255561496741e-05,0.0423005568045221,0,3.53119449480521,8360.93522262209,104163.065475935,3.044764440574e-11,302.584375484952,390.602426720234,0.452889430692593,0.000846527782874544,7.97591930081521e-06,0.0241671648223565,0,0,3,C
6,0,0.0005,0,0,-7.00187246094073e+94,1,-1,0.531362900237047,93.316306030711,2.07160061230617e+93,1,0,5.26509603868681e+127,7.83803694584108e+123,1,1.99755311258225,1.99768244844723,1.8918706769017,1.44733162844406e+93,9.52724868545107e+70,0.536665605062037,8.68862939221462,0,2.56548491058051e+118,3.09258772498627e+116,-11.7675156414968,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,NaN,<undefined>
7,0,0.0005,0,0,0.320569542146402,0.0101505671927531,0.296391104269272,0.00139332808516769,-0.0168876654121161,-0.0196290994113857,1,85.6669241416647,0.0195737869540293,0,1,1.81838800927835,1.81841314339986,-1.47675577623855,0.13751515453749,0.142003238077905,-0.373197778825614,-0.741118350744857,0,0.0160200350635601,4.26937239877134e-05,0.0294771843455315,0,3.48467293978742,10430.2579691548,104162.855321629,7.01660951563099e-14,163.902333403083,365.686670463491,2.14200593732832,0.000734806325049457,7.95742952352265e-06,0.024281062843319,0,0,3,C
8,0,0.0005,0,0,0.121686130238915,0.0131598885271549,0.0916851346748043,0.00183753740299243,-0.0217541225399198,-0.0253534751876451,1,8.4882245603343,0.0323689985304321,0,1,1.9957540611223,1.99581806664715,1.81423867653311,0.177522774495215,0.184868695359444,0.459580972021328,-0.37922609001481,0,0.0224798512641422,4.24211475152213e-05,0.0417968467207276,0,3.52795516661465,8482.26779671238,104163.051257631,1.36690658791849e-12,291.681530747638,375.583998253257,0.534015530538423,0.000838782366006175,7.9106856840168e-06,0.0241751374887522,0,0,3,C
9,0,0.0005,0,0,-2.42701419810013e+90,1,-1,0.532134648318814,88.856164151855,7.18065649853967e+88,1,0,5.8948670621401e+121,7.96039868780144e+117,1,1.99875443149863,1.99881909458227,1.9445873862487,5.13688016622455e+88,4.47077550848594e+67,0.612968648476908,8.68846960085034,0,5.17146044193333e+112,5.94079826671866e+110,-11.4837706293921,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,NaN,<undefined>
10,0,0.0005,0,0,0.343725902453656,0.00980115034079411,0.321506488546037,0.00138989641946351,-0.0162907113315466,-0.0189289689328973,1,87.5531627058234,0.0182243883367736,0,1,1.80572663941888,1.80594380686895,-1.54593304133619,0.132606538442605,0.136744006547719,-0.336912421245646,-0.726970144498232,0,0.0155144451223107,4.27219457560899e-05,0.0294744287411649,0,3.48551162016271,10373.9559562712,104162.859986896,1.07469588783715e-13,168.542138689381,363.186024658648,2.04652964668071,0.000735569740212402,7.93979954015607e-06,0.0242777509842329,0,0,3,C
